日付,部門,商品名,販売数量,単価,売上金額,顧客区分,地域
2025-01-02,EC事業部,リファービッシュ品,10,19800,198000,個人,—
2025-01-02,EC事業部,サブスクリプションBOX,42,3980,167160,個人,—
2025-01-02,EC事業部,カスタマイズケース,59,2980,175820,個人,—
2025-01-02,海外事業部,SmartWatch Pro (NA),8,42800,342400,海外代理店,北米
2025-01-02,海外事業部,Wireless Earbuds Elite (EU),11,27800,305800,海外代理店,欧州
2025-01-02,海外事業部,Portable Speaker (APAC),4,19800,79200,海外直販,アジア太平洋
2025-01-02,海外事業部,Mobile Battery Plus (NA),17,7980,135660,海外直販,北米
2025-01-03,コンシューマー事業部,スマートウォッチ Pro,28,39800,1114400,量販店,札幌
2025-01-03,コンシューマー事業部,ワイヤレスイヤホン Elite,44,24800,1091200,個人,仙台
2025-01-03,コンシューマー事業部,ポータブルスピーカー SX,28,18500,518000,個人,仙台
2025-01-03,コンシューマー事業部,モバイルバッテリー Plus,63,6980,439740,個人,福岡
2025-01-03,法人ソリューション事業部,クラウドライセンス（年間）,1,360000,360000,官公庁,大阪
2025-01-03,法人ソリューション事業部,サーバー保守契約,3,180000,540000,大企業,名古屋
2025-01-03,法人ソリューション事業部,セキュリティ監査パッケージ,1,450000,450000,中小企業,大阪
2025-01-03,EC事業部,アクセサリーセット,62,4980,308760,個人,—
2025-01-03,EC事業部,限定コラボモデル,9,49800,448200,個人,—
2025-01-03,EC事業部,リファービッシュ品,23,19800,455400,個人,—
2025-01-03,EC事業部,サブスクリプションBOX,28,3980,111440,個人,—
2025-01-03,EC事業部,カスタマイズケース,38,2980,113240,個人,—
2025-01-03,海外事業部,SmartWatch Pro (NA),10,42800,428000,海外直販,北米
2025-01-03,海外事業部,Wireless Earbuds Elite (EU),7,27800,194600,海外直販,欧州
2025-01-03,海外事業部,Portable Speaker (APAC),7,19800,138600,海外直販,アジア太平洋
2025-01-03,海外事業部,Mobile Battery Plus (NA),12,7980,95760,海外直販,北米
2025-01-04,コンシューマー事業部,スマートウォッチ Pro,72,39800,2865600,個人,仙台
2025-01-04,コンシューマー事業部,ワイヤレスイヤホン Elite,97,24800,2405600,量販店,札幌
2025-01-04,コンシューマー事業部,ポータブルスピーカー SX,22,18500,407000,個人,札幌
2025-01-04,コンシューマー事業部,モバイルバッテリー Plus,92,6980,642160,個人,大阪
2025-01-04,EC事業部,アクセサリーセット,75,4980,373500,個人,—
2025-01-04,EC事業部,限定コラボモデル,8,49800,398400,個人,—
2025-01-04,EC事業部,リファービッシュ品,20,19800,396000,個人,—
2025-01-04,EC事業部,サブスクリプションBOX,50,3980,199000,個人,—
2025-01-04,EC事業部,カスタマイズケース,59,2980,175820,個人,—
2025-01-04,海外事業部,SmartWatch Pro (NA),5,42800,214000,海外直販,北米
2025-01-04,海外事業部,Wireless Earbuds Elite (EU),6,27800,166800,海外代理店,欧州
2025-01-04,海外事業部,Portable Speaker (APAC),4,19800,79200,海外代理店,アジア太平洋
2025-01-04,海外事業部,Mobile Battery Plus (NA),12,7980,95760,海外代理店,北米
2025-01-05,コンシューマー事業部,スマートウォッチ Pro,76,39800,3024800,個人,福岡
2025-01-05,コンシューマー事業部,ワイヤレスイヤホン Elite,61,24800,1512800,個人,大阪
2025-01-05,コンシューマー事業部,ポータブルスピーカー SX,36,18500,666000,量販店,名古屋
2025-01-05,コンシューマー事業部,モバイルバッテリー Plus,190,6980,1326200,量販店,大阪
2025-01-05,EC事業部,アクセサリーセット,65,4980,323700,個人,—
2025-01-05,EC事業部,限定コラボモデル,7,49800,348600,個人,—
2025-01-05,EC事業部,リファービッシュ品,25,19800,495000,個人,—
2025-01-05,EC事業部,サブスクリプションBOX,51,3980,202980,個人,—
2025-01-05,EC事業部,カスタマイズケース,68,2980,202640,個人,—
2025-01-05,海外事業部,SmartWatch Pro (NA),4,42800,171200,海外代理店,北米
2025-01-05,海外事業部,Wireless Earbuds Elite (EU),10,27800,278000,海外代理店,欧州
2025-01-05,海外事業部,Portable Speaker (APAC),4,19800,79200,海外代理店,アジア太平洋
2025-01-05,海外事業部,Mobile Battery Plus (NA),8,7980,63840,海外代理店,北米
2025-01-06,コンシューマー事業部,スマートウォッチ Pro,21,39800,835800,個人,大阪
2025-01-06,コンシューマー事業部,ワイヤレスイヤホン Elite,36,24800,892800,個人,札幌
2025-01-06,コンシューマー事業部,ポータブルスピーカー SX,34,18500,629000,個人,仙台
2025-01-06,コンシューマー事業部,モバイルバッテリー Plus,80,6980,558400,個人,大阪
2025-01-06,法人ソリューション事業部,クラウドライセンス（年間）,1,360000,360000,大企業,大阪
2025-01-06,法人ソリューション事業部,サーバー保守契約,2,180000,360000,中小企業,名古屋
2025-01-06,法人ソリューション事業部,導入コンサルティング,1,800000,800000,官公庁,福岡
2025-01-06,EC事業部,アクセサリーセット,64,4980,318720,個人,—
2025-01-06,EC事業部,限定コラボモデル,6,49800,298800,個人,—
2025-01-06,EC事業部,リファービッシュ品,10,19800,198000,個人,—
2025-01-06,EC事業部,サブスクリプションBOX,36,3980,143280,個人,—
2025-01-06,EC事業部,カスタマイズケース,48,2980,143040,個人,—
2025-01-06,海外事業部,SmartWatch Pro (NA),6,42800,256800,海外直販,北米
2025-01-06,海外事業部,Wireless Earbuds Elite (EU),10,27800,278000,海外代理店,欧州
2025-01-06,海外事業部,Portable Speaker (APAC),6,19800,118800,海外直販,アジア太平洋
2025-01-06,海外事業部,Mobile Battery Plus (NA),14,7980,111720,海外代理店,北米
2025-01-07,コンシューマー事業部,スマートウォッチ Pro,33,39800,1313400,個人,名古屋
2025-01-07,コンシューマー事業部,ワイヤレスイヤホン Elite,35,24800,868000,個人,名古屋
2025-01-07,コンシューマー事業部,ポータブルスピーカー SX,33,18500,610500,量販店,札幌
2025-01-07,コンシューマー事業部,モバイルバッテリー Plus,111,6980,774780,個人,大阪
2025-01-07,法人ソリューション事業部,クラウドライセンス（年間）,2,360000,720000,中小企業,福岡
2025-01-07,法人ソリューション事業部,サーバー保守契約,2,180000,360000,官公庁,福岡
2025-01-07,法人ソリューション事業部,セキュリティ監査パッケージ,1,450000,450000,中小企業,名古屋
2025-01-07,EC事業部,アクセサリーセット,61,4980,303780,個人,—
2025-01-07,EC事業部,限定コラボモデル,9,49800,448200,個人,—
2025-01-07,EC事業部,リファービッシュ品,16,19800,316800,個人,—
2025-01-07,EC事業部,サブスクリプションBOX,37,3980,147260,個人,—
2025-01-07,EC事業部,カスタマイズケース,54,2980,160920,個人,—
2025-01-07,海外事業部,SmartWatch Pro (NA),7,42800,299600,海外直販,北米
2025-01-07,海外事業部,Wireless Earbuds Elite (EU),11,27800,305800,海外代理店,欧州
2025-01-07,海外事業部,Portable Speaker (APAC),7,19800,138600,海外代理店,アジア太平洋
2025-01-07,海外事業部,Mobile Battery Plus (NA),18,7980,143640,海外代理店,北米
2025-01-08,コンシューマー事業部,スマートウォッチ Pro,12,39800,477600,個人,東京
2025-01-08,コンシューマー事業部,ワイヤレスイヤホン Elite,19,24800,471200,量販店,名古屋
2025-01-08,コンシューマー事業部,ポータブルスピーカー SX,13,18500,240500,個人,福岡
2025-01-08,コンシューマー事業部,モバイルバッテリー Plus,42,6980,293160,個人,福岡
2025-01-08,法人ソリューション事業部,クラウドライセンス（年間）,2,360000,720000,中小企業,名古屋
2025-01-08,法人ソリューション事業部,サーバー保守契約,2,180000,360000,教育機関,東京
2025-01-08,法人ソリューション事業部,セキュリティ監査パッケージ,1,450000,450000,中小企業,名古屋
2025-01-08,EC事業部,アクセサリーセット,38,4980,189240,個人,—
2025-01-08,EC事業部,限定コラボモデル,5,49800,249000,個人,—
2025-01-08,EC事業部,リファービッシュ品,9,19800,178200,個人,—
2025-01-08,EC事業部,サブスクリプションBOX,20,3980,79600,個人,—
2025-01-08,EC事業部,カスタマイズケース,22,2980,65560,個人,—
2025-01-08,海外事業部,SmartWatch Pro (NA),8,42800,342400,海外直販,北米
2025-01-08,海外事業部,Wireless Earbuds Elite (EU),9,27800,250200,海外直販,欧州
2025-01-08,海外事業部,Portable Speaker (APAC),6,19800,118800,海外直販,アジア太平洋
2025-01-08,海外事業部,Mobile Battery Plus (NA),16,7980,127680,海外代理店,北米
2025-01-09,コンシューマー事業部,スマートウォッチ Pro,14,39800,557200,個人,名古屋
2025-01-09,コンシューマー事業部,ワイヤレスイヤホン Elite,21,24800,520800,量販店,札幌
2025-01-09,コンシューマー事業部,ポータブルスピーカー SX,12,18500,222000,個人,福岡
2025-01-09,コンシューマー事業部,モバイルバッテリー Plus,38,6980,265240,個人,札幌
2025-01-09,法人ソリューション事業部,クラウドライセンス（年間）,1,360000,360000,中小企業,東京
2025-01-09,法人ソリューション事業部,サーバー保守契約,2,180000,360000,官公庁,東京
2025-01-09,法人ソリューション事業部,セキュリティ監査パッケージ,1,450000,450000,中小企業,名古屋
2025-01-09,EC事業部,アクセサリーセット,24,4980,119520,個人,—
2025-01-09,EC事業部,限定コラボモデル,3,49800,149400,個人,—
2025-01-09,EC事業部,リファービッシュ品,8,19800,158400,個人,—
2025-01-09,EC事業部,サブスクリプションBOX,19,3980,75620,個人,—
2025-01-09,EC事業部,カスタマイズケース,28,2980,83440,個人,—
2025-01-09,海外事業部,SmartWatch Pro (NA),7,42800,299600,海外直販,北米
2025-01-09,海外事業部,Wireless Earbuds Elite (EU),7,27800,194600,海外代理店,欧州
2025-01-09,海外事業部,Portable Speaker (APAC),7,19800,138600,海外代理店,アジア太平洋
2025-01-09,海外事業部,Mobile Battery Plus (NA),17,7980,135660,海外直販,北米
2025-01-10,コンシューマー事業部,スマートウォッチ Pro,12,39800,477600,量販店,東京
2025-01-10,コンシューマー事業部,ワイヤレスイヤホン Elite,25,24800,620000,個人,福岡
2025-01-10,コンシューマー事業部,ポータブルスピーカー SX,9,18500,166500,量販店,仙台
2025-01-10,コンシューマー事業部,モバイルバッテリー Plus,40,6980,279200,個人,福岡
2025-01-10,法人ソリューション事業部,クラウドライセンス（年間）,2,360000,720000,教育機関,福岡
2025-01-10,法人ソリューション事業部,サーバー保守契約,3,180000,540000,教育機関,福岡
2025-01-10,EC事業部,アクセサリーセット,32,4980,159360,個人,—
2025-01-10,EC事業部,限定コラボモデル,5,49800,249000,個人,—
2025-01-10,EC事業部,リファービッシュ品,7,19800,138600,個人,—
2025-01-10,EC事業部,サブスクリプションBOX,16,3980,63680,個人,—
2025-01-10,EC事業部,カスタマイズケース,22,2980,65560,個人,—
2025-01-10,海外事業部,SmartWatch Pro (NA),6,42800,256800,海外直販,北米
2025-01-10,海外事業部,Wireless Earbuds Elite (EU),9,27800,250200,海外直販,欧州
2025-01-10,海外事業部,Portable Speaker (APAC),6,19800,118800,海外代理店,アジア太平洋
2025-01-10,海外事業部,Mobile Battery Plus (NA),14,7980,111720,海外代理店,北米
2025-01-11,コンシューマー事業部,スマートウォッチ Pro,21,39800,835800,個人,福岡
2025-01-11,コンシューマー事業部,ワイヤレスイヤホン Elite,42,24800,1041600,個人,札幌
2025-01-11,コンシューマー事業部,ポータブルスピーカー SX,11,18500,203500,個人,名古屋
2025-01-11,コンシューマー事業部,モバイルバッテリー Plus,81,6980,565380,量販店,札幌
2025-01-11,EC事業部,アクセサリーセット,38,4980,189240,個人,—
2025-01-11,EC事業部,限定コラボモデル,8,49800,398400,個人,—
2025-01-11,EC事業部,リファービッシュ品,11,19800,217800,個人,—
2025-01-11,EC事業部,サブスクリプションBOX,21,3980,83580,個人,—
2025-01-11,EC事業部,カスタマイズケース,24,2980,71520,個人,—
2025-01-11,海外事業部,SmartWatch Pro (NA),5,42800,214000,海外直販,北米
2025-01-11,海外事業部,Wireless Earbuds Elite (EU),8,27800,222400,海外直販,欧州
2025-01-11,海外事業部,Portable Speaker (APAC),2,19800,39600,海外代理店,アジア太平洋
2025-01-11,海外事業部,Mobile Battery Plus (NA),9,7980,71820,海外代理店,北米
2025-01-12,コンシューマー事業部,スマートウォッチ Pro,15,39800,597000,個人,東京
2025-01-12,コンシューマー事業部,ワイヤレスイヤホン Elite,36,24800,892800,個人,札幌
2025-01-12,コンシューマー事業部,ポータブルスピーカー SX,12,18500,222000,個人,札幌
2025-01-12,コンシューマー事業部,モバイルバッテリー Plus,68,6980,474640,個人,名古屋
2025-01-12,EC事業部,アクセサリーセット,39,4980,194220,個人,—
2025-01-12,EC事業部,限定コラボモデル,6,49800,298800,個人,—
2025-01-12,EC事業部,リファービッシュ品,11,19800,217800,個人,—
2025-01-12,EC事業部,サブスクリプションBOX,25,3980,99500,個人,—
2025-01-12,EC事業部,カスタマイズケース,36,2980,107280,個人,—
2025-01-12,海外事業部,SmartWatch Pro (NA),5,42800,214000,海外代理店,北米
2025-01-12,海外事業部,Wireless Earbuds Elite (EU),7,27800,194600,海外代理店,欧州
2025-01-12,海外事業部,Portable Speaker (APAC),5,19800,99000,海外代理店,アジア太平洋
2025-01-12,海外事業部,Mobile Battery Plus (NA),11,7980,87780,海外直販,北米
2025-01-13,コンシューマー事業部,スマートウォッチ Pro,16,39800,636800,量販店,大阪
2025-01-13,コンシューマー事業部,ワイヤレスイヤホン Elite,28,24800,694400,個人,札幌
2025-01-13,コンシューマー事業部,ポータブルスピーカー SX,14,18500,259000,量販店,福岡
2025-01-13,コンシューマー事業部,モバイルバッテリー Plus,38,6980,265240,個人,名古屋
2025-01-13,法人ソリューション事業部,クラウドライセンス（年間）,2,360000,720000,大企業,名古屋
2025-01-13,法人ソリューション事業部,サーバー保守契約,3,180000,540000,中小企業,福岡
2025-01-13,法人ソリューション事業部,セキュリティ監査パッケージ,1,450000,450000,教育機関,名古屋
2025-01-13,EC事業部,アクセサリーセット,36,4980,179280,個人,—
2025-01-13,EC事業部,限定コラボモデル,4,49800,199200,個人,—
2025-01-13,EC事業部,リファービッシュ品,9,19800,178200,個人,—
2025-01-13,EC事業部,サブスクリプションBOX,17,3980,67660,個人,—
2025-01-13,EC事業部,カスタマイズケース,25,2980,74500,個人,—
2025-01-13,海外事業部,SmartWatch Pro (NA),6,42800,256800,海外直販,北米
2025-01-13,海外事業部,Wireless Earbuds Elite (EU),9,27800,250200,海外直販,欧州
2025-01-13,海外事業部,Portable Speaker (APAC),6,19800,118800,海外直販,アジア太平洋
2025-01-13,海外事業部,Mobile Battery Plus (NA),14,7980,111720,海外代理店,北米
2025-01-14,コンシューマー事業部,スマートウォッチ Pro,11,39800,437800,個人,福岡
2025-01-14,コンシューマー事業部,ワイヤレスイヤホン Elite,27,24800,669600,個人,仙台
2025-01-14,コンシューマー事業部,ポータブルスピーカー SX,12,18500,222000,量販店,札幌
2025-01-14,コンシューマー事業部,モバイルバッテリー Plus,40,6980,279200,量販店,仙台
2025-01-14,法人ソリューション事業部,クラウドライセンス（年間）,2,360000,720000,官公庁,福岡
2025-01-14,法人ソリューション事業部,サーバー保守契約,2,180000,360000,官公庁,大阪
2025-01-14,EC事業部,アクセサリーセット,23,4980,114540,個人,—
2025-01-14,EC事業部,限定コラボモデル,4,49800,199200,個人,—
2025-01-14,EC事業部,リファービッシュ品,6,19800,118800,個人,—
2025-01-14,EC事業部,サブスクリプションBOX,25,3980,99500,個人,—
2025-01-14,EC事業部,カスタマイズケース,21,2980,62580,個人,—
2025-01-14,海外事業部,SmartWatch Pro (NA),6,42800,256800,海外代理店,北米
2025-01-14,海外事業部,Wireless Earbuds Elite (EU),11,27800,305800,海外直販,欧州
2025-01-14,海外事業部,Portable Speaker (APAC),5,19800,99000,海外代理店,アジア太平洋
2025-01-14,海外事業部,Mobile Battery Plus (NA),15,7980,119700,海外直販,北米
2025-01-15,コンシューマー事業部,スマートウォッチ Pro,16,39800,636800,量販店,東京
2025-01-15,コンシューマー事業部,ワイヤレスイヤホン Elite,30,24800,744000,個人,福岡
2025-01-15,コンシューマー事業部,ポータブルスピーカー SX,11,18500,203500,個人,大阪
2025-01-15,コンシューマー事業部,モバイルバッテリー Plus,51,6980,355980,個人,福岡
2025-01-15,法人ソリューション事業部,クラウドライセンス（年間）,1,360000,360000,大企業,福岡
2025-01-15,法人ソリューション事業部,サーバー保守契約,2,180000,360000,大企業,大阪
2025-01-15,法人ソリューション事業部,導入コンサルティング,1,800000,800000,官公庁,東京
2025-01-15,EC事業部,アクセサリーセット,38,4980,189240,個人,—
2025-01-15,EC事業部,限定コラボモデル,5,49800,249000,個人,—
2025-01-15,EC事業部,リファービッシュ品,8,19800,158400,個人,—
2025-01-15,EC事業部,サブスクリプションBOX,23,3980,91540,個人,—
2025-01-15,EC事業部,カスタマイズケース,24,2980,71520,個人,—
2025-01-15,海外事業部,SmartWatch Pro (NA),7,42800,299600,海外直販,北米
2025-01-15,海外事業部,Wireless Earbuds Elite (EU),8,27800,222400,海外代理店,欧州
2025-01-15,海外事業部,Portable Speaker (APAC),6,19800,118800,海外代理店,アジア太平洋
2025-01-15,海外事業部,Mobile Battery Plus (NA),19,7980,151620,海外直販,北米
2025-01-16,コンシューマー事業部,スマートウォッチ Pro,16,39800,636800,個人,仙台
2025-01-16,コンシューマー事業部,ワイヤレスイヤホン Elite,18,24800,446400,個人,大阪
2025-01-16,コンシューマー事業部,ポータブルスピーカー SX,12,18500,222000,個人,東京
2025-01-16,コンシューマー事業部,モバイルバッテリー Plus,37,6980,258260,量販店,名古屋
2025-01-16,法人ソリューション事業部,クラウドライセンス（年間）,1,360000,360000,官公庁,名古屋
2025-01-16,法人ソリューション事業部,サーバー保守契約,3,180000,540000,教育機関,東京
2025-01-16,法人ソリューション事業部,セキュリティ監査パッケージ,1,450000,450000,官公庁,大阪
2025-01-16,EC事業部,アクセサリーセット,30,4980,149400,個人,—
2025-01-16,EC事業部,限定コラボモデル,6,49800,298800,個人,—
2025-01-16,EC事業部,リファービッシュ品,5,19800,99000,個人,—
2025-01-16,EC事業部,サブスクリプションBOX,23,3980,91540,個人,—
2025-01-16,EC事業部,カスタマイズケース,24,2980,71520,個人,—
2025-01-16,海外事業部,SmartWatch Pro (NA),8,42800,342400,海外直販,北米
2025-01-16,海外事業部,Wireless Earbuds Elite (EU),12,27800,333600,海外直販,欧州
2025-01-16,海外事業部,Portable Speaker (APAC),5,19800,99000,海外代理店,アジア太平洋
2025-01-16,海外事業部,Mobile Battery Plus (NA),18,7980,143640,海外代理店,北米
2025-01-17,コンシューマー事業部,スマートウォッチ Pro,15,39800,597000,個人,東京
2025-01-17,コンシューマー事業部,ワイヤレスイヤホン Elite,20,24800,496000,個人,仙台
2025-01-17,コンシューマー事業部,ポータブルスピーカー SX,14,18500,259000,個人,大阪
2025-01-17,コンシューマー事業部,モバイルバッテリー Plus,39,6980,272220,量販店,名古屋
2025-01-17,法人ソリューション事業部,クラウドライセンス（年間）,1,360000,360000,教育機関,福岡
2025-01-17,法人ソリューション事業部,サーバー保守契約,3,180000,540000,教育機関,名古屋
2025-01-17,EC事業部,アクセサリーセット,22,4980,109560,個人,—
2025-01-17,EC事業部,限定コラボモデル,4,49800,199200,個人,—
2025-01-17,EC事業部,リファービッシュ品,6,19800,118800,個人,—
2025-01-17,EC事業部,サブスクリプションBOX,23,3980,91540,個人,—
2025-01-17,EC事業部,カスタマイズケース,24,2980,71520,個人,—
2025-01-17,海外事業部,SmartWatch Pro (NA),6,42800,256800,海外代理店,北米
2025-01-17,海外事業部,Wireless Earbuds Elite (EU),12,27800,333600,海外直販,欧州
2025-01-17,海外事業部,Portable Speaker (APAC),7,19800,138600,海外代理店,アジア太平洋
2025-01-17,海外事業部,Mobile Battery Plus (NA),16,7980,127680,海外直販,北米
2025-01-18,コンシューマー事業部,スマートウォッチ Pro,17,39800,676600,個人,札幌
2025-01-18,コンシューマー事業部,ワイヤレスイヤホン Elite,44,24800,1091200,個人,大阪
2025-01-18,コンシューマー事業部,ポータブルスピーカー SX,13,18500,240500,個人,福岡
2025-01-18,コンシューマー事業部,モバイルバッテリー Plus,68,6980,474640,個人,仙台
2025-01-18,EC事業部,アクセサリーセット,29,4980,144420,個人,—
2025-01-18,EC事業部,限定コラボモデル,6,49800,298800,個人,—
2025-01-18,EC事業部,リファービッシュ品,9,19800,178200,個人,—
2025-01-18,EC事業部,サブスクリプションBOX,23,3980,91540,個人,—
2025-01-18,EC事業部,カスタマイズケース,30,2980,89400,個人,—
2025-01-18,海外事業部,SmartWatch Pro (NA),6,42800,256800,海外直販,北米
2025-01-18,海外事業部,Wireless Earbuds Elite (EU),9,27800,250200,海外代理店,欧州
2025-01-18,海外事業部,Portable Speaker (APAC),4,19800,79200,海外代理店,アジア太平洋
2025-01-18,海外事業部,Mobile Battery Plus (NA),14,7980,111720,海外直販,北米
2025-01-19,コンシューマー事業部,スマートウォッチ Pro,24,39800,955200,量販店,名古屋
2025-01-19,コンシューマー事業部,ワイヤレスイヤホン Elite,41,24800,1016800,量販店,福岡
2025-01-19,コンシューマー事業部,ポータブルスピーカー SX,25,18500,462500,個人,札幌
2025-01-19,コンシューマー事業部,モバイルバッテリー Plus,71,6980,495580,量販店,東京
2025-01-19,EC事業部,アクセサリーセット,34,4980,169320,個人,—
2025-01-19,EC事業部,限定コラボモデル,8,49800,398400,個人,—
2025-01-19,EC事業部,リファービッシュ品,11,19800,217800,個人,—
2025-01-19,EC事業部,サブスクリプションBOX,25,3980,99500,個人,—
2025-01-19,EC事業部,カスタマイズケース,32,2980,95360,個人,—
2025-01-19,海外事業部,SmartWatch Pro (NA),6,42800,256800,海外代理店,北米
2025-01-19,海外事業部,Wireless Earbuds Elite (EU),10,27800,278000,海外直販,欧州
2025-01-19,海外事業部,Portable Speaker (APAC),5,19800,99000,海外直販,アジア太平洋
2025-01-19,海外事業部,Mobile Battery Plus (NA),10,7980,79800,海外代理店,北米
2025-01-20,コンシューマー事業部,スマートウォッチ Pro,12,39800,477600,個人,大阪
2025-01-20,コンシューマー事業部,ワイヤレスイヤホン Elite,28,24800,694400,量販店,東京
2025-01-20,コンシューマー事業部,ポータブルスピーカー SX,13,18500,240500,個人,福岡
2025-01-20,コンシューマー事業部,モバイルバッテリー Plus,31,6980,216380,個人,東京
2025-01-20,法人ソリューション事業部,クラウドライセンス（年間）,1,360000,360000,大企業,名古屋
2025-01-20,法人ソリューション事業部,サーバー保守契約,2,180000,360000,教育機関,大阪
2025-01-20,EC事業部,アクセサリーセット,33,4980,164340,個人,—
2025-01-20,EC事業部,限定コラボモデル,4,49800,199200,個人,—
2025-01-20,EC事業部,リファービッシュ品,8,19800,158400,個人,—
2025-01-20,EC事業部,サブスクリプションBOX,21,3980,83580,個人,—
2025-01-20,EC事業部,カスタマイズケース,24,2980,71520,個人,—
2025-01-20,海外事業部,SmartWatch Pro (NA),6,42800,256800,海外代理店,北米
2025-01-20,海外事業部,Wireless Earbuds Elite (EU),9,27800,250200,海外代理店,欧州
2025-01-20,海外事業部,Portable Speaker (APAC),7,19800,138600,海外直販,アジア太平洋
2025-01-20,海外事業部,Mobile Battery Plus (NA),18,7980,143640,海外直販,北米
2025-01-21,コンシューマー事業部,スマートウォッチ Pro,11,39800,437800,個人,札幌
2025-01-21,コンシューマー事業部,ワイヤレスイヤホン Elite,21,24800,520800,量販店,仙台
2025-01-21,コンシューマー事業部,ポータブルスピーカー SX,10,18500,185000,個人,大阪
2025-01-21,コンシューマー事業部,モバイルバッテリー Plus,51,6980,355980,量販店,東京
2025-01-21,法人ソリューション事業部,クラウドライセンス（年間）,1,360000,360000,官公庁,名古屋
2025-01-21,法人ソリューション事業部,サーバー保守契約,3,180000,540000,官公庁,東京
2025-01-21,法人ソリューション事業部,セキュリティ監査パッケージ,1,450000,450000,教育機関,名古屋
2025-01-21,EC事業部,アクセサリーセット,36,4980,179280,個人,—
2025-01-21,EC事業部,限定コラボモデル,6,49800,298800,個人,—
2025-01-21,EC事業部,リファービッシュ品,9,19800,178200,個人,—
2025-01-21,EC事業部,サブスクリプションBOX,23,3980,91540,個人,—
2025-01-21,EC事業部,カスタマイズケース,26,2980,77480,個人,—
2025-01-21,海外事業部,SmartWatch Pro (NA),6,42800,256800,海外直販,北米
2025-01-21,海外事業部,Wireless Earbuds Elite (EU),10,27800,278000,海外直販,欧州
2025-01-21,海外事業部,Portable Speaker (APAC),6,19800,118800,海外代理店,アジア太平洋
2025-01-21,海外事業部,Mobile Battery Plus (NA),13,7980,103740,海外直販,北米
2025-01-22,コンシューマー事業部,スマートウォッチ Pro,10,39800,398000,個人,仙台
2025-01-22,コンシューマー事業部,ワイヤレスイヤホン Elite,19,24800,471200,個人,名古屋
2025-01-22,コンシューマー事業部,ポータブルスピーカー SX,13,18500,240500,個人,大阪
2025-01-22,コンシューマー事業部,モバイルバッテリー Plus,31,6980,216380,個人,札幌
2025-01-22,法人ソリューション事業部,クラウドライセンス（年間）,2,360000,720000,官公庁,大阪
2025-01-22,法人ソリューション事業部,サーバー保守契約,2,180000,360000,教育機関,名古屋
2025-01-22,法人ソリューション事業部,セキュリティ監査パッケージ,1,450000,450000,官公庁,東京
2025-01-22,EC事業部,アクセサリーセット,22,4980,109560,個人,—
2025-01-22,EC事業部,限定コラボモデル,6,49800,298800,個人,—
2025-01-22,EC事業部,リファービッシュ品,10,19800,198000,個人,—
2025-01-22,EC事業部,サブスクリプションBOX,15,3980,59700,個人,—
2025-01-22,EC事業部,カスタマイズケース,17,2980,50660,個人,—
2025-01-22,海外事業部,SmartWatch Pro (NA),7,42800,299600,海外代理店,北米
2025-01-22,海外事業部,Wireless Earbuds Elite (EU),10,27800,278000,海外代理店,欧州
2025-01-22,海外事業部,Portable Speaker (APAC),4,19800,79200,海外直販,アジア太平洋
2025-01-22,海外事業部,Mobile Battery Plus (NA),14,7980,111720,海外代理店,北米
